Id;Culture;Text
7;1;Храм Кришны-Баларамы
8;0;"Govardhan is famous for the Holy Govardhan Hill. There are many temples in this town namely Shri Haridev ji Temple, Daan-Ghati Temple and Mukharbind Temple. The town is also famous for its 21 kilometers long Parikrama of the famous Govardhan hill. The parikrama procession is held in very high religious belief. It's said that Lord Krishna held Govardhan Hill on his little finger to save the town from wrath of the god of rains Indra.

The town also houses Maanasi-Ganga, a close-ended lake. This is another place for the devotees visiting this town. On the banks of this lake, there are quite a few temples, prominent among them the Mukharbind temple.

One of the most important day in Goverdhan is Guru Poornima (Also called ""Mudia Poono""). On this day, Millions of devotees come to Govardhan for parikrama."
8;1;Именно здесь находится святой Холм Говардхан, вокруг которого можно найти множество храмов, а так же совершить парикраму длиной в 21 км.  Одним из важных праздников в Говардхане является Гуру Пурнима, когда миллионы преданных приезжают сюда со всего мира.
9;0;Govardhan
9;1;Говардхан
10;0;"Situated in front of the main temple, this samadhi mandir is built from pure marble in honour of His Divine Grace A.C. Bhaktivedanta Swami Prabhupada, found er-acarya of ISKCON, who's  sacred body is entombed here. He entered samadhi on 14th of November, (in the most auspicious month of Kartika) in the year 1977. There is a great Tirobhava Mahotsava, (disappearance  celebration) held here each year just three days after Govardhana Puja, and his disciples and followers come from all over the world for this important festival. Srila Prabhupada, taking the order  of his spiritual master, Srila Bhaktisiddhanta Sarasvati Gosvami, to preach in the west, as his life and soul, single-handedly spread the message of Krishna Consciousness all over the world.  
Srila Prabhupada left Vrndavana in 1965 and sailed to America. After struggling hard for over a year, he finally established the International Society for Krishna Consciousness in New York in 1966. He made the holy name of Krishna a household word and he himself became world famous as the guru of the Hare Krishna movement.Srila Prabhupada's greatest contribution to mankind, however, are his books, which have been translated into more than 60 languages, and are used as standard text books in colleges around the world. I his books constitute a veritable  library of Vedic philosophy, religion, hteraturc and culture. The Bhaktivedanta Book Trust, established for the purpose of publishing Srila Prabhupada's writings, has become the worlds largest publisher in the field of Indian religion and philosophy. In just 12 short years, Srila Prabhupada circled the globe 14 times on lecture tours, preaching to his followers, and opening over 100 Krishna temples in almost every country of the world.
Timings: 
Mangala Arati 4:15 am. Darsana 7:15 am —11:00 am 
Raj Bhoga Arati 12 noon—12:30
Evening Darsana—Winter 4:00 pm—8:30 pm. Summer 4:30 pm - 8:45 pm."
10;1;"Расположенное напротив главного храма, самадхи-мандир выстроено из белого мрамора в честь Его Божественной Милости А. Ч. Бхактиведанты Свами Прабхупады, ачарии-основателя ИСККОН, чье святое тело покоится здесь. Он вошел в самадхи вечером 14 ноября в год 1977 в благоприятный месяц картика в окружении своих любимых учеников, которые воспевали святые имена Господа Кришны. Каждый год через два дня после окончания говардхана пуджи здесь проходит великая церемония в честь дня его ухода — тиробхава махотсава, в которой принимают участие его ученики и последователи со всего мира.
Шрила Прабхупада родился в Калькутте в 1896 году в аристократическом роду Малликов в семье Гоура Мохана Де. В юности Шрила Прабхупада посещал колледж шотландской церкви, после занимался фармацевтикой у доктора Боза. В молодом возрасте 22-х лет он впервые встретился со своим духовным наставником Его Божественной Милостью Шрилой Бхактисиддхантой Сарасвати Госвами, который приказал ему проповедовать на английском языке и распространять движение санкиртаны Господа Чайтаньи в западных странах. Шрила Прабхупада, приняв наказ духовного учителя всем сердцем и душой, распространил послание сознания Кришны по всему западному миру. В 1965 году Шрила Прабхупада оставил Вриндаван и прибыл в Америку, где, после года тяжелых испытаний, в 1966 году основал в Нью-Йорке Международное общество сознания Кришны (ИСККОН). Он превратил святое имя Кришны в очень популярное слово, а сам обрел всемирную славу гуру движения Харе Кришна. За 12 лет Шрила Прабхупада 14 раз объехал земной шар, давая лекции и вдохновляя своих учеников, число которых превысило к тому времени 5000. Шрила Прабхупада открыл более ста храмов Харе Кришна почти в каждой стране, четко установив движение сознания Кришны как древнее духовное движение в сегодняшнем мире. Однако величайшим вкладом Шрилы Прабхупады в ми¬ровую культуру человечества являются его книги, переведенные более чем на 60 языков, и которые используются, как стандартные учебники во многих колледжах и университетах по всему миру. Его книги представляют собой целую библиотеку ведической философии, религии, литературы и культуры. ""Бхактиведанта Бук Траст"", организованный с целью издания трудов Шрилы Прабхупады, на сегодняшний день является в мире самым крупным издательством книг по индийской религии и философии. 
Храм открыт:
Мангала 4.30, даршан 7:15-11:00
Радж бхога-арати — 12:00-12:30
Вечернее арати зимой 16:00-20:30, летом — 16:30-20:45"
11;0;Vrindavan
11;1;Вриндаван
12;0;Srila Bhaktivedanta Swami Prabhupada Samadhi
12;1;Самадхи  Шрилы Бхактиведанты Свами Прабхупады
13;0;Nabadwip, originally Naodah (ˌnæbəˈdwi:p), city, a municipality in Nadia district in West Bengal (India), on the western bank of the Bhagirathi river. It was a center of learning and philosophy in medieval India and is still noted for its traditional Sanskrit schools. The Navya Nyaya school of logic was reached its peak under the philosophers of Nabadwip. Sri Chaitanya Mahaprabhu was born here, making this place an important pilgrimage centre in Bengal. Many devotees from worldwide who adhere to Gaudiya Vaishnavism come to Nabadwip for pilgrimage on the auspicious occasion of the Birthday celebration of Shri Mahaprabhu on the Phalguni Purnima (i.e. on the Full moon day of the March every year), and for various festivals in relation to Leelas of Shri Mahaprabhu like Sri Nabadwip-mandala Parikrama and other festivities like Dol jatra, Ras purnima Gaura-purnima.
13;1;Набадвип или Навадви́па (бенг. নবদ্বীপ, англ. Nabadwip) — город в округе Надия индийского штата Западная Бенгалия. Также — историческая область в месте слияния рек Ганги и Джаланги, с центром в городе Навадвипа. «Навадвипа» в переводе с бенгальского языка означает «девять островов». Эти острова называются Антардвипа (Маяпур), Симантадвипа, Рудрадвипа, Мадхьядвипа, Годрумадвипа, Ритудвипа, Джахнудвипа, Модадрумадвипа и Коладвипа. Более 500 лет назад здесь прошли божественные игры Шри Чайтаньи Махапрабху. Ежегодно Навадвипу посещают множество паломников, приезжающих со всего мира. Особенной популярностью пользуется фестиваль Гаура-пурнима, накануне которого проводится Навадвипа-мандала-парикрама — паломничество по девяти островам Навадвипы
14;0;Nabadvipa
14;1;Навадвипа
15;0;One can see some of the original autographed manuscripts of Sanatana, Rupa and Jiva Gosvamis at this research institute. There is also a good Vedic library here which is open to the public.
15;1;В институте можно ознакомиться с оригиналами древних манускриптов Санатаны, Рупы и Дживы Госвами, а библиотека ведической литературы открыта для широкой публики.
16;0;Vrindavan
16;1;Вриндаван
17;0;Vrndavan Research Institute And Library
17;1;Исследовательский институт и библиотека Вриндавана
18;0;Ekachakra is a small village, located 20 km away from the town of Rampurhat in the Birbhum District of West Bengal. The five Pandavas from the epic, Mahabharata are described as staying in Ekachakra during their years in exile. It is also famous as the birthplace of Nityananda Rama, a principal religious figure in the Gaudiya Vaishnava tradition.
18;1;Экачакра - это небольшая деревня, расположенная в 20 км. от города Рампурат в Западной Бенгалии. В этом месте, согласно древнему эпосу Махабхарата, во время своего изгнания проживали пять братьев Пандавов. Так же это место знаменито как место рождения Шри Нитьянанды.
19;0;Ekachakra
19;1;Экачакра
20;0;"Formerly, the Yamuna River used to flow here in the days of Lord Krishna's advent on earth. It is here that Krishna showed His form of Ixird Varaha (Boar Incarnation) to the gopls. There is a  small Varaha Deity in a temple opposite the ashram of Gautama Rishi. "
20;1;Во времена земных игр Господа Кришны Ямуна проте¬кала именно здесь. Тут же Господь Кришна показал гопи Свою форму Варахи (воплощение вепря). В храме, стоя¬щем прямо напротив ашрама Гаутамы Риши, находится красивое божество Господа Варахи.
21;0;Vrindavan
21;1;Вриндаван
22;0;Vardha Ghata
22;1;Вараха-гхата
23;0;This trail used to run along the bank of the Yamuna. The Gopas (cowherd boys) used to herd their cows here. It now fornis part of the Vrndavana parikrama.
23;1;Тропа вьется вдоль берегов Ямуны. Гопы (мальчики-пастушки) водили свои стада по этой тропе. Сегодня она является частью парикрамы по Вриндавану.
24;0;Vrindavan
24;1;Вриндаван
25;0;Cowherd Boy's Trail
25;1;Тропа мальчиков-пастушков
26;0;"This is Where the great sage Gautam Risi performed austerities thousands of years ago. Srila Prabhupada's geneogical line belongs to the line of disciples from Gautam Risi. "
26;1;Место, где великий святой Гаутама Риши предавался аскезам тысячи лет назад. Генеалогическая линия Шрилы Прабхупады восходит к линии учеников Гаутамы Риши.
27;0;Vrindavan
27;1;Вриндаван
28;0;Gautam Rishi Ashram
28;1;Ашрам Гаутамы Риши
29;0;Two different trees growing from one trunk symbolises, according to local Brajabasis, a sacred pastime place of Lord Krishna. Krishna and Balarama used to come here with the cowherd boys,  and play in the soft sands of Ramana Reti. (Ramana Reti means pleasure giving sands.) It was also the area where Lord Krishna met Srimatl Radharanl before proceeding to Vrndavana for  enjoying various transcendental pastimes.
29;1;"Два разных дерева, выросшие из одного ствола, символизируют, по мнению местных враджабаси, место сокровенных развлечений Кришны. Кришна и Баларама приходили сюда с мальчиками-пастушками и играли на мягких песках Рамана-рети (Рамана-рети означает ""пески, дарящие наслаждение""). Здесь же Господь Кришна встречался со Шримати Радхарани перед тем, как отправиться во Вриндаван для своих трансцендентных развлечений."
30;0;Vrindavan
30;1;Вриндаван
31;0;Raman Reti Pastime Tree
31;1;Дерево развлечений Кришны-Баларамы (Рамана-рети)
32;0;"Formerly, the Yamuna River used to flow here in the days of Lord Krishna's advent on earth. It is here that Krishna showed His form of Ixird Varaha (Boar Incarnation) to the gopis. There is a  small Varaha Deity in a temple opposite the ashram of Gautama Rishi.

"
32;1;Во времена земных игр Господа Кришны Ямуна протекала именно здесь. Тут же Господь Кришна показал гопи Свою форму Варахи (воплощение вепря). В храме, стоящем прямо напротив ашрама Гаутамы Риши, находится красивое божество Господа Варахи.
33;0;Vrindavan
33;1;Вриндаван
34;0;Varаha Ghata
34;1;Вараха-гхата
35;0;At this place there used to be a garden (kunja), where Lord Krishna danced with the gopis on the bank of the Yamuna. Cupid (Kamadeva) came here with the purpose of tiring his arrow of attraction at Sri Krishna, but upon seeing the exquisite beauty of the Lord, as he danced with the Gopis, Cupid became so attracted himself by Krishna's beauty, that he fell unconscious due to ecstatic feelings of love. Lord Krishna is therefore called Madana-mohana, or the attractor of Cupid (who is known as Madana).
35;1;Когда-то в этом месте располагался сад (кунджа), где Господь Кришна танцевал с гопи на берегу Ямуны. Купидон (Камадева) приходил сюда, чтобы послать стрелу обольщения в Шри Кришну. Но, увидев несравненную красоту Господа, танцующего с гопи, Камадева сам настолько привлекся великолепной формой Кришны, что потерял сознание от переполнившей его экстатической любви. Вот почему Кришну называют Мадана-Мохана, то есть «Тот, кто покоряет самого Камадеву», известного так же как Мадана.
36;0;Vrindavan
36;1;Вриндаван
37;0;Mohana Ter Ghata
37;1;Мохана Тер-гхата
38;0;At this place, Nanda Maharaja, Lord Krishna's father, gave cows away in charity to the brdhmanas.
38;1;В этом месте Нанда Махарадж, отец Господа Кришны, жертвовал брахманам коров.
39;0;Vrindavan
39;1;Вриндаван
40;0;Go ghata (Ram Gol Ghata)
40;1;" Го-гхата (Рам Гол-гхата)"
41;0;"Here, Lord Krishna jumped from a big Kadamba tree into the Yamuna river, in order to chastise the Kaliya serpent who was poisoning the waters of the river. The kadamba tree that Krishna climbed is still here, even though the Yamuna does not flow here anymore, except during the rainy season when the river floods. Lord Krishna came to know that a very large and poisonous serpent had made its home tn a lagoon on the Yamuna river. Because the serpent was so poisonous, not only all the fish died, but even the trees and grass surrounding the lake were during. When birds flew over the area, they immediately dropped dead and fell into the lake, due to the highly poisonous vapors emanating from the water.
In that time, there were many frightful demons, who had all kinds of mystic powers. Lord. Krishna had specifically appeared to rid the world of all these disturbing elements. The Lord came to this place with His cowherd boyfriends and decided to confront the king of the snakes. 
He climbed the large kadamba tree and from there, jumped into the poisonous waters of the Yamuna. 

Lord Krishna then began splashing about and making very loud noises just to disturb the Kaliya serpent. Sure enough, the Kaliya snake came up to the surface to see who was attacking his home. This huge black serpent Kaliya, (Kaliya means black) possessed over one hundred hoods, each bedecked with a precious gem. When he breathed, fire emanated from his nostrils. He suddenly seized Krishna in his powerful coils, and bound the Lord as tightly as possible. But unfortunately this serpent did not realize that within its coils was the Supreme Personality of Godhead, playing as a child and enjoying His earthly pastimes in the transcendental land of Vrndavana. Without warning. Krishna, the Supreme Mystic started to expand His body, and Kaliya, who began to feel the incredible pressure, was forced to release the Lord from his deadly coils. Krishna then jumped on to the hoods of the great serpent and started to dance, stamping His foot down on the heads of the snake demon, Kaliya. 

This stamping of Krishna, felt to Kaliya serpent like lndra‘s thunderbolt striking a mountain. The Lord jumped from one hood to another, and Kaliya felt helpless and bewildered; in anger he spat fire from his many mouths but the Lord was so dexterous that His dancing movements caused the snake to become dizzy. After so many kicks from the Lord, Kaliya started to first vomit blood, and then refuse, before becoming almost unconscious. At that time, the many wives of the Kaliya serpent appeared and begged the Lord with folded hands to spare their husband. Krishna decided to banish Kaliya to the great ocean never to return again. Thereafter, the giant snake along with his wives, departed forever, and the transcendental Lord rejOined His cowherd boyfriends on the bank of the Yamuna, to continue their wonderful pastimes in the land of Vrndavana. 


"
41;1;"С этого большого дерева кадамба Господь Кришна прыгнул в Ямуну, чтобы наказать змея Калию за отравление вод реки. Дерево кадамба, с которого прыгнул Кришна, все еще здесь, хотя Ямуна уже изменила свое русло и не течет рядом, кроме сезонов дождей, когда ее уровень поднимается.
Господь Кришна как-то прослышал, что огромный и ядовитый змей нашел прибежище в реке Ямуне. Из-за змеиного яда вывелась не только вся рыба, но даже деревья и трава по берегам реки стали усыхать. Когда птицы пролетали над змеиным логовом, они падали замертво от его ядовитых испарений.
Это были времена ужасных демонов, владеющих всеми видами мистических сил. Господь Кришна как раз и пришел в этот мир, чтобы избавить его от всех беспокойств. Итак, Господь появился здесь со Своими друзьями-пастушками и решил сразиться с царем змей. Он взобрался на большое дерево кадамба и прыгнул прямо в отравленные воды Ямуны. Кришна стал резвиться в воде, чтобы потревожить змея Калию. Вскоре тот выплыл наверх, чтобы взглянуть на храбреца, который отважился бросить ему вызов. Черный змей Калия (калия означает ""черный"") имел сотню голов, увенчанную каждую драгоценным камнем. 
Когда он дышал, огонь выходил с множества его ноздрей. Внезапно демон скрутил Кришну в своих смертельных объятиях и сжал Господа изо всех сил. На свою беду змей не понимал, что держит в своих кольцах Верховную Личность Бога, играющего роль ребенка и наслаждающегося Своими земными развлечениями на трансцендентной земле Вриндавана. 
Кришна, Верховный мистик, стал расширяться и Калия, почувствовав невероятное напряжение, выпустил Господа из своих смертельных колец. Кришна запрыгнул на головы змея и стал танцевать на них, притоптывая Своими ножками. Змею Калии показалось, будто молния Индры ударила в него. Господь перепрыгивал с одной головы на другую, а Калия слабел и терял надежду; в гневе он выпускал столбы пламени из своих языков, но Господь был так проворен, что от Его танца змей почувствовал головокружение. После таких толчков Кришны змей стал истекать кровью и хотел удрать, но ему не хватало сил. В это время на месте схватки появились жены Калии и со сложенными руками стали умолять Господа помиловать своего супруга. Тогда Кришна приказал Калии убраться в океан и впредь здесь не показываться. Змей тотчас же уплыл со своими женами, а трансцендентный Господь присоединился к Своим друзьям на берегу Ямуны и продолжил Свои прекрасные развлечения на земле Вриндавана.
"
42;0;Vrindavan
42;1;Вриндаван
43;0;Kaliya Ghata (Kaliya-Hrada)
43;1;Калия-гхата (Калия-храда)
44;0;"Just 20 meters from Kaliya-ghata is the samadhi of Prabodhananda Sarasvata Gosvam‘i. He met Lord Chaitanya at Sri Rangam, in South India and was the uncle as well as the spiritual master of Gopala Bhatta Gosvami. Taking a vow never to leave Vrndavana for the rest of his life, he used this area as his bhajana-kutira. He was one of the intimate associates of the six Gosvamis and wrote a number of important books on Krishna consciousness. 
"
44;1;"Всего в 20-ти метрах от Калия-гхата находится самадхи Прабходананды Сарасвати Госвами. Он впервые встретился с Господом Чайтаньей возле Шри Рангама в Южной Индии; он был дядей и духовным учителем Гопала Бхатты Госвами. Приняв обет никогда не покидать Вриндаван до конца своих дней, он использовал это место в качестве своего бхаджан-кутира. Он был одним из близких спутников шестерых Госвами и написал немало важных книг о сознании Кришны.

"
45;0;Vrindavan
45;1;Вриндаван
46;0;Prabodhananda Saraswati Samadhi
46;1;Самадхи Прабходананды Сарасвати
47;0;"It is said that this Deity of Kahya Mardan, Lord Krishna subduing the Kaliya serpent, is 5000 years old and was originally installed by Krishna's grandson, Vajranaba. "
47;1;"Говорится, что Божеству Калия Мардана (Господь Кришна, побеждающий змея Калию) уже 5000 лет и оно было установлено внуком Кришны Ваджранабой.

"
48;0;Vrindavan
48;1;Вриндаван
49;0;Kaliya Mardan Temple
49;1;Храм Калия Мардана
50;0;This is the place where Lord Krishna's perspiration caused a small lake to appear, situ¬ated just below Dvadasaditya Hill. This ghata is no longer visible.
50;1;В этом месте из пота Кришны (прашкандана) проявилось небольшое озерцо, прямо под холмом Двадашадитья. Эта гхата сегодня скрыта от глаз.
51;0;Vrindavan
51;1;Вриндаван
52;0;Prashkandana Ghata
52;1;Прашкандана-гхата
53;0;The sun god Surya underwenl great austerities here so that he could achieve darsana of Lord Krishna. This ghadta is no longer visible.
53;1;Бог солнца Сурья проводил здесь великие аскезы, чтобы получить даршан Господа Кришны. Шримати Радхарани также молилась в этом месте, прося появиться бога солнца и согреть Господа Кришну, который во время битвы со змеем Калия весьма переохладился в водах реки Ямуны. Сегодня эта гхата не видна.
54;0;Vrindavan
54;1;Вриндаван
55;0;Suraj Ghata
55;1;Сурадж-гхата
56;0;At this place Sri Advaita Acarya stayed while visiting Vrindavana, where he prayed to Lord Krishna to descend as Lord Caitanya Mahaprabhu and save the fallen souls of Kali-yuga. While in Vrindavan he discovered the Deity of Madana-gopala. He kept the Deity at Mathura with a brahmana called Choube. This same Deity was later given to Sanatana Gosvami and became the celebrated Madana-mohana.
56;1;Под деревом останавливался Адвайта Ачария и совершал свою бхаджану во время посещения Вриндавана. Находясь здесь, он обнаружил Божество Мадана-гопала. Когда он отправился в Бенгалию, то оставил Божество в Матхуре брахману по имени Чоба. Позже Божество было передано Санатане Госвами и прославилось, как Мадана-Мохан.
57;0;Vrindavan
57;1;Вриндаван
58;0;Advaita Vata (Banyan Tree)
58;1;Адвайта-вата (баньяновое дерево)
59;0;"This is the hill where Sanatana Gosvami used to perform his bhajana and worship his beloved Deity, Madana-mohana, by keeping Him up in a tree. Sanatana Gosvami came to Vrndavana in the  year 1516, along with his brother Srila Rupa Gosvami. At a later time, the temple of Madana-mohana was built on this very same hill. After chastising the serpent Kaliya, Lord Krishna, feeling cold  from being in the water for a long time, climbed this hill and lay down to rest in the sunshine. At that time, the 12 forms of Aditya; (Surya - the sun-god), appeared here in the form of 12 blazing suns in order to prevent Krishna from catching a cold. Due to the intense heat, Lord Krishna started to perspire and the perspiration from Krishna's body caused a small lake known as  Prashkandana."
59;1;Возле холма Санатана Госвами пел бхаджаны и поклонялся своему возлюбленному Божеству Мадана-Мохана, держа его под деревом. Санатана Госвами пришел во Вриндаван в 1516 году вместе со своим братом Шрилой Рупой Госвами. В более поздние времена на этом месте был выстроен храм Мадана-Мохана. После победы над змеем Калия Господь Кришна, немного замерзший от долгого пребывания в воде, поднялся на холм и лег понежиться на солнце. Тотчас перед Кришной появилось двенадцать форм Адитьи (Сурьи, бога солнца) в виде двенадцати ярких солнц, чтобы уберечь Господа от простуды. От жары Господь Кришна вспотел и из Его пота образовалось маленькое озерцо, известное как Прашкандана-гхата.
60;0;Vrindavan
60;1;Вриндаван
61;0;Dvadasaditya Teela (Hill)
61;1;Двадашадитья-тила (холм)
62;0;"This famous temple was established by Srila Sanatana Gosvami and was the first temple of Lord Krishna built in Vrndavana, which at that time was just a forest. The original Deity of  Madana-mohana was taken to Karauli in Rajasthan for safety during the attack on Vrndavana by the soldiers of the fanatical Muslim emperor - Aurangeb. The Deity now worshipped here is the  pratibhu-murti (replica) which is considered to be none different in potency.
Lord Chaitanya displayed intense love for Sanatana Gosvami; once, the Lord informed Sanatana that ""your body  belongs to Me, it is my principle instrument for executing many important functions. By your body, I shall carry out so many tasks. You will have to ascertain the basic principles for devotees, also Vaisnava duties and Vaisnava characteristics; you will also have to explain about devotional service to Lord Krishna, as well as excavating the lost places of Krishna's pastimes, building  temples and teaching people how to adopt the renounced order.Madana-mohana, also known as Madana-gopala, was' first discovered by Advaita Acarya, the most intimate associate of Lord  Caitanya, in the place where he was performing his bhajana - now known as Advaita Vat, which is just below the Dvadasaditya Hill. 
When Advaita Prabhu was due to leave for Bengal. Advaita  left Madana-mohana in the care of a brahmana named Choube, who kept Him just like one of his own sons. Many year passed, both Rupa and Sanatana used to go to Mathura for collecting  alms (madhukari), and it so happened that Sanatana Gosvami visited the house of the brahmana Choube.
 
He received a sudden shock when he saw that Choube's children were playing with Madana-mohana. He immediately called Choube and chastised him for not showing proper respect to the Deity, and then explained to him all the rules and regulations of proper Deity worship. That night, on returning to Vrndavana, Sanatana had a dream in which Madana-mohana told him that he had  been very happy living in the brahmana's house as one of his children, but now that the brahmana had introduced so many rules and regulations, He was not happy anymore. 
The same night,  the brahmana also had a dream in which Madana-mohana told him that, ""as you have so many children, and Sanatana has none, so please give me to Sanatana"". The next morning, Sanatana Gosvami rushed to the brahmana's house to apologise and ask forgiveness, but to his surprise, the brahmana requested him to take Madana-mohana. At first, Sanatana refused because he was not able to offer nice food to Madana-mohana as he lived only on dry chapatis. Later in another dream Madana-mohana said that He would accept whatever Sanatana offered Him.
Sanatana Gosvami then brought Madana-mohana to Vrindavana, to the place where he did his bhajana, situated on (he top of the hill named Dvadasaditya, and kept the Deity up in a nearby tree.  As time went by, Sanatana was one day offering the same dry chapatis when Madana-mohana suddenly asked for some salt. Sanatana then told Madana-mohana, ""Just see, now you want salt and tomorrow you will want sweets; I am an old man and have so many books to write so please just accept this dry chapati"". It so happened that same day that a wealthy merchant from Multan in Punjab, was taking a large boat full of salt down the river to Agra, for sale in the local market. When passing the Kaliya-ghata, the boat got stuck on a sand-bank and could not move for three days. 
In great anxiety, the merchant, who's name was Ramdasa Kapoor, came ashore where a beautiful brijbasi boy advised him to seek the help of Sanatana Gosvami, a saint who lived up on  the Dvadasaditya Hill. On climbing the hill, Ramdasa Kapoor saw Sanatana Gosvami engaged in his bhajana and asked him if he could help. Sanatana then advised him that he should ask  Madana-mohana, as only He could help him. Sure enough, when Ramdasa finished worshipping Madana-mohana, the boat miraculously got free from the sand-bank. Ramdasa was overjoyed  and promised to return after finishing his business in Agra.
 
Within a short time, Ramdasa Kapoor returned, having sold all his merchandise for a handsome profit and wanted to hand the full amount over to Sanatana, in appreciation for the help he had received from Madana-mohana. Sanatana asked him to build a nice temple for Madana-mohana which he did. He also built a ghadta below, all out of fine red sandstone. Unfortunately about a hundred years later when Emperor Aurangzcb sent his soldiers to destroy the Temples of Vrndavana, the Madana-mohana Temple was also desecrated. This tragic episode occurred in 1670.
 
"
